tipo_entidad,institucion,pais,sector,lat,lon
Universidad,Faculty Hospital Bulovka,Czech Republic,Medical Devices,49.817492,15.472962
Centro Tecnológico,Instituto Reumatología ,Czech Republic,Medical Devices,49.817492,15.472962
Empresa,COOK (William Cook Europe ApS),Denmark,Industrial,56.26392,9.501785
Empresa,Novo Nordisk ,Denmark,Farma,56.26392,9.501785
Empresa,Reflab AP,Denmark,TIC,56.26392,9.501785
Universidad,Aalborg University,Denmark,TIC,56.26392,9.501785
Universidad,Aalborg University,Denmark,Medical Devices,56.26392,9.501785
Universidad,"Aarhus Universitethospital, Skejby, AUH",Denmark,E-health,56.26392,9.501785
Universidad,"CAST, University of Southern Denmark",Denmark,Otros,56.26392,9.501785
Universidad,Københavns Universitet,Denmark,Otros,56.26392,9.501785
Universidad,National University Hospital of Denmark,Denmark,E-health,56.26392,9.501785
Universidad,Odense University Hospital,Denmark,E-health,56.26392,9.501785
Universidad,University of Copenhagen,Denmark,Biotech (Diagnóstico y equipos médicos),56.26392,9.501785
Universidad,Slovak Medical University,Eslovaquia,Otros,48.669026,19.699024
Empresa,Ferrer Int,España,Farma,40.463667,-3.74922
Empresa,"Grifols International , S.A.",España,Farma,40.463667,-3.74922
Empresa,Nanotherapix ,España,Biotech (Diagnóstico y equipos médicos),40.463667,-3.74922
Empresa,Asper Biotech,Estonia,Biotech (Diagnóstico y equipos médicos),58.595272,25.013607
Empresa,FibroTx,Estonia,Biotech (Diagnóstico y equipos médicos),58.595272,25.013607
Empresa,Visgenyx,Estonia,Biotech (Diagnóstico y equipos médicos),58.595272,25.013607
Universidad,University of Tartu,Estonia,Otros,58.595272,25.013607
Universidad,Abo Akademi- University of Turku,Finland,E-health,61.92411,25.748151
Universidad,Helsingin Yliopisto Uh ,Finland,Otros,61.92411,25.748151
Universidad,Itä-Suomen Yliopisto ,Finland,Otros,61.92411,25.748151
Universidad,Kuopio University,Finland,Otros,61.92411,25.748151
Universidad,Tampereen Yliopisto,Finland,Otros,61.92411,25.748151
Universidad,University of Kuopio UKU Finland ,Finland,Otros,61.92411,25.748151
Universidad,University of Turku,Finland,Otros,61.92411,25.748151
Empresa,ANaBior,France,Nanotech,46.227638,2.213749
Empresa,Cellartis AB,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Empresa,Cezanne,France,Nanotech,46.227638,2.213749
Empresa,Cyclopharma,France,Farma,46.227638,2.213749
Empresa,Genewave,France,Medical Devices,46.227638,2.213749
Empresa,Gostai,France,Industrial,46.227638,2.213749
Empresa,Kaizen UCD,France,Otros,46.227638,2.213749
Empresa,Lorang Ltd,France,Otros,46.227638,2.213749
Empresa,Praxis,France,Farma,46.227638,2.213749
Empresa,Sanofi Aventis,France,Farma,46.227638,2.213749
Empresa,Soluscience Sa Soluscience,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Empresa,TCLAND Expression SA,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Empresa,TCLAND Expression SA,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Universidad,CEA Insitute of Biology Technologies,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Universidad,Ecole Polytechnique Federale de Lausanne,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Universidad,Universidad Paris Descartes,France,E-health,46.227638,2.213749
